Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Health Services,Mastercall Healthcare,Public Health,Supplies and services,07/09/2017,4132
Health Services,Mastercall Healthcare,Public Health,Supplies and services,07/09/2017,4132
Health Services,Mastercall Healthcare,Public Health,Supplies and services,07/09/2017,4286.38
Health Services,Mastercall Healthcare,Public Health,Supplies and services,18/09/2017,4132
Health Services,Mastercall Healthcare,Adult Social Care,Supplies and services,27/09/2017,52481.91
Health Services,Mastercall Healthcare,Public Health,Supplies and services,18/09/2017,-4132
Health Services,Mastercall Healthcare,Public Health,Supplies and services,18/09/2017,4132
Construction / Building Services,MAYSAND LTD,Cultural & Related Services,Grounds Maintenance,27/09/2017,153.85
Construction / Building Services,MAYSAND LTD,Cultural & Related Services,Grounds Maintenance,27/09/2017,76.92
Construction / Building Services,MAYSAND LTD,Cultural & Related Services,Grounds Maintenance,27/09/2017,633.08
Construction / Building Services,MAYSAND LTD,Cultural & Related Services,Grounds Maintenance,27/09/2017,379.85
Social Care Services,MBi Social Care Ltd Co,Adult Social Care,Care Payments,18/09/2017,1376
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,08/09/2017,1500
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,08/09/2017,1200
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,15/09/2017,1350
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,15/09/2017,1950
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,22/09/2017,1200
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,22/09/2017,2100
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,04/09/2017,2550
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,29/09/2017,2250
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,29/09/2017,750
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,04/09/2017,1500
Social Care Services,Medacs Healthcare,Adult Social Care,Care Payments,04/09/2017,1500
Recruitment / Staffing,MedGen,Childrens & Educational Services,Care Payments,19/09/2017,840.84
Recruitment / Staffing,MedGen,Childrens & Educational Services,Care Payments,20/09/2017,873.6
Recruitment / Staffing,MedGen,Childrens & Educational Services,Care Payments,20/09/2017,701.4
Childcare Provision,Melissa's Childcare Services,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Education Services,Mellor Academy,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,13/09/2017,11487.9
Education Services,Mellor Academy,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,13/09/2017,13923.2
Education Services,Mellor Academy,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,13/09/2017,569.2
Social Care Services,Mencap,Adult Social Care,Care Payments,06/09/2017,1400
Social Care Services,Mencap - North ISF,Adult Social Care,Care Payments,25/09/2017,-3784.42
Social Care Services,Mencap - North ISF,Adult Social Care,Care Payments,25/09/2017,90132.69
Social Care Services,Merevale House Residential Home,Adult Social Care,Care Payments,18/09/2017,3600
Transport and Travel,Metro Taxis ISF,Adult Social Care,Care Payments,25/09/2017,1146.6
Transport and Travel,Metro Taxis ISF,Adult Social Care,Care Payments,25/09/2017,577.72
Transport and Travel,Metro Taxis ISF,Adult Social Care,Care Payments,25/09/2017,873.6
Transport and Travel,Metro Taxis ISF,Adult Social Care,Care Payments,25/09/2017,4628.6
Transport and Travel,Metro Taxis ISF,Adult Social Care,Care Payments,25/09/2017,-606.1
Transport and Travel,METRO TAXIS LTD,Childrens & Educational Services,Leasing /Transport Hire,20/09/2017,4165.3
Transport and Travel,METRO TAXIS LTD,Childrens & Educational Services,Leasing /Transport Hire,20/09/2017,658
Transport and Travel,METRO TAXIS LTD,Childrens & Educational Services,Leasing /Transport Hire,20/09/2017,407.2
Transport and Travel,METRO TAXIS LTD,Childrens & Educational Services,Leasing /Transport Hire,20/09/2017,517.2
Transport and Travel,METRO TAXIS LTD,Childrens & Educational Services,Leasing /Transport Hire,20/09/2017,44.3
Transport and Travel,METRO TAXIS LTD,Adult Social Care,Travelling Expenses,20/09/2017,213.2
Transport and Travel,METRO TAXIS LTD,Adult Social Care,Travelling Expenses,20/09/2017,1251.25
Legal Services,Michael Baker Solicitors Limited,Central Support Costs,Capital Expenditure - Compensation,05/09/2017,3500
Legal Services,Michael Baker Solicitors Limited,Central Support Costs,Legal Fees,05/09/2017,6844
Bereavement Services,Middleton Funeralcare (Co-op),Central Services to the public,Leasing /Transport Hire,07/09/2017,1039.5
Bereavement Services,Middleton Funeralcare (Co-op),Central Services to the public,Leasing /Transport Hire,07/09/2017,1039.5
Bereavement Services,Middleton Funeralcare (Co-op),Central Services to the public,Leasing /Transport Hire,07/09/2017,990
Bereavement Services,Middleton Funeralcare (Co-op),Central Services to the public,Leasing /Transport Hire,07/09/2017,1435.5
Software Supplier,Midland Software Ltd,Central Support Costs,Information and Communications Technology,11/09/2017,1112.4
Software Supplier,Midland Software Ltd,Central Support Costs,Information and Communications Technology,11/09/2017,823.14
Social Care Services,Mill View Care Home,Adult Social Care,Care Payments,18/09/2017,1157.15
Construction / Building Services,MILLERCARE LTD,Adult Social Care,Furniture and Equipment,01/09/2017,1695.57
Construction / Building Services,MILLERCARE LTD,Adult Social Care,Furniture and Equipment,06/09/2017,1412.54
Construction / Building Services,MILLERCARE LTD,Adult Social Care,Furniture and Equipment,13/09/2017,893.45
Construction / Building Services,MILLERCARE LTD,Adult Social Care,Furniture and Equipment,20/09/2017,1675.49
Construction / Building Services,MILLERCARE LTD,Adult Social Care,Furniture and Equipment,28/09/2017,1434.51
Construction / Building Services,MILLERCARE LTD,Adult Social Care,Capital Expenditure - Works,04/09/2017,900
Legal Services,MISS LAURA D'CRUZ,Central Support Costs,Professional Fees,11/09/2017,500
Legal Services,Miss Lisa Judge,Central Support Costs,Professional Fees,20/09/2017,19880
Legal Services,MISS RACHEL WEDDERSPOON,Central Support Costs,Professional Fees,08/09/2017,700
Legal Services,MISS RACHEL WEDDERSPOON,Central Support Costs,Professional Fees,04/09/2017,500
Legal Services,MISS RACHEL WEDDERSPOON,Central Support Costs,Professional Fees,12/09/2017,500
Legal Services,MISS RACHEL WEDDERSPOON,Central Support Costs,Professional Fees,12/09/2017,-500
Clothing/Workwear/Safety Equipt,MONKHOUSE F R LTD,Housing (General Fund) Services,Clothing Uniforms and Laundry,08/09/2017,20833.33
Clothing/Workwear/Safety Equipt,MONKHOUSE F R LTD,Housing (General Fund) Services,Clothing Uniforms and Laundry,08/09/2017,-20833.33
Clothing/Workwear/Safety Equipt,MONKHOUSE F R LTD,Housing (General Fund) Services,Clothing Uniforms and Laundry,08/09/2017,20833.33
Childcare Provision,More Play more Often,Childrens & Educational Services,Publicity and Promotion,20/09/2017,2110
Childcare Provision,More Play more Often,Childrens & Educational Services,Publicity and Promotion,20/09/2017,6693.75
Construction / Building Services,MORRISON HIGHWAY MAINTENANCE,Capital Expenditure,Capital Expenditure - Works,25/09/2017,13122.11
Construction / Building Services,MORRISON HIGHWAY MAINTENANCE,Capital Expenditure,Capital Expenditure - Works,25/09/2017,7766.38
Construction / Building Services,MORRISON HIGHWAY MAINTENANCE,Highways & Transport Services,Repairs and Maintenance,25/09/2017,607.92
Construction / Building Services,MORRISON HIGHWAY MAINTENANCE,Capital Expenditure,Capital Expenditure - Works,25/09/2017,17923.53
Construction / Building Services,MORRISON HIGHWAY MAINTENANCE,Highways & Transport Services,Repairs and Maintenance,25/09/2017,836.77
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,29/09/2017,1277.22
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,22/09/2017,2175
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,25/09/2017,875.26
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,25/09/2017,120
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,25/09/2017,139.84
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,25/09/2017,90.52
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,25/09/2017,1211.25
Cafe / Bar / Food Outlet,Mosaic Hospitality Limited,Cultural & Related Services,Catering Supplies,25/09/2017,116.64
Social Care Services,Mount Hall Care Home,Adult Social Care,Care Payments,21/09/2017,7615.54
Social Care Services,Mount Hall Care Home,Adult Social Care,Care Payments,25/09/2017,-734.1
Social Care Services,Mount Hall Care Home,Adult Social Care,Care Payments,25/09/2017,7187.5
Social Care Services,Mount Hall Care Home,Adult Social Care,Care Payments,25/09/2017,775.25
Charity/Third Sector,Movieland,Corporate & Democratic Core,Publicity and Promotion,12/09/2017,545.94
Legal Services,Mr Fraser Livesey,Central Support Costs,Professional Fees,21/09/2017,5750
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,06/09/2017,310.64
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,06/09/2017,3.53
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,06/09/2017,225.92
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,06/09/2017,310.64
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,06/09/2017,28.24
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,3247.6
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,282.4
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,677.76
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,3575.89
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,2372.16
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,2929.9
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,1009.58
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,158.85
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,4077.15
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,307.11
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,847.2
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,3819.46
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,2361.57
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,3385.27
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,1228.44
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,13/09/2017,176.5
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,3501.76
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,289.46
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,734.24
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,3201.71
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,1945.03
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,2968.73
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,984.87
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,155.32
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,3353.5
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,285.93
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,744.83
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,3321.73
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,2093.29
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,2693.39
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,1009.58
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,26/09/2017,141.2
Social Care Services,MRL Healthcare Limited,Adult Social Care,Care Payments,08/09/2017,1779.12
Animal Welfare Services,MRS J BRANDRETH T/A Keeley's Kainin,Adult Social Care,Care Payments,18/09/2017,600
Animal Welfare Services,MRS J BRANDRETH T/A Keeley's Kainin,Adult Social Care,Care Payments,18/09/2017,698
Health Advice / Awareness,MYCLOUD LIMITED,Childrens & Educational Services,Professional Fees,29/09/2017,4550
Social Care Services,NAS Services Limited,Adult Social Care,Care Payments,06/09/2017,12783.04
Social Care Services,NAS Services Limited,Adult Social Care,Care Payments,06/09/2017,11762.8
Social Care Services,NAS Services Limited,Adult Social Care,Care Payments,25/09/2017,-1498
Social Care Services,NAS Services Limited,Adult Social Care,Care Payments,25/09/2017,19539.6
Social Care Services,NAS Services Limited,Adult Social Care,Care Payments,18/09/2017,1268.84
Transport and Travel,National Car Parks Ltd,Highways & Transport Services,Third party payments - Private/Voluntary Sector,01/09/2017,33159.08
Transport and Travel,NATIONAL HOLIDAYS LTD,Cultural & Related Services,Publicity and Promotion,05/09/2017,8199.53
Transport and Travel,NATIONAL HOLIDAYS LTD,Cultural & Related Services,Office Expenses,05/09/2017,-1281.03
Transport and Travel,NATIONAL HOLIDAYS LTD,Cultural & Related Services,Publicity and Promotion,20/09/2017,6915.11
Transport and Travel,NATIONAL HOLIDAYS LTD,Cultural & Related Services,Office Expenses,20/09/2017,-1133.92
Communications and Technology,NBM DISTRIBUTION LTD,Planning Services,Furniture and Equipment,19/09/2017,545.46
Communications and Technology,NBM DISTRIBUTION LTD,Planning Services,Furniture and Equipment,19/09/2017,10
Childcare Provision,Network Nurseries,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,30797.31
